FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data
mf_vacant_units_count,Rent Roll Summary_commsizemax,,
mf_weighted_avg_rent_per_sf_per_mo,Rent Roll Summary_commverificationsource,,
mf_weighted_avg_rent_per_sf_per_year,Rent Roll Summary_commvacancy,,
mf_weighted_avg_rent_per_unit,Rent Roll Summary_nooftenants,,
mfamenities,Rent Roll Summary_sfleased,,
min_lot_area,Rent Roll Summary_anchors,,
minimum_lot_area,Rent Roll Summary_shadowanchors,,
monthly_or_daily_rent,Rent Roll Summary_commleasecomments,,
msa,Rent Roll Summary_tenant,,
multifamily_gba,Rent Roll_id,,
municipality,Rent Roll_tenant,,
name,Rent Roll_lessor,,
neighborhood,Rent Roll_leasetype,,
neighborhoodcomments,Rent Roll_typeoruseofspace,,
net_income_multiplier,Rent Roll_leasetransactiontype,,
net_rentable_area,Rent Roll_suite,,
new_value,Rent Roll_floorlevel,,
nim,Rent Roll_unitsf,,
no_of_baths,Rent Roll_effectiverentsf,,
no_of_buildings,Rent Roll_effectiverentsfmo,,
no_of_craneways,Rent Roll_effrentperyear,,
no_of_docks,Rent Roll_effrentpermo,,
no_of_mf_bathrooms,Rent Roll_leasestartdate,,
no_of_multifamily_bedrooms,Rent Roll_leaseexpiredate,,
no_of_multifamily_rooms,Rent Roll_baserentsf,,
no_of_tenants,Rent Roll_baserentsfmo,,
north_boundary,Rent Roll_baserentperyear,,
notes,Rent Roll_baserentpermo,,
number_of_parcels,Rent Roll_leaseterm,,
number_of_units,Rent Roll_concessions,,
occupancy_type,Rent Roll_expensestop,,
office_gba,Rent Roll_leasedate,,
office_ra,Rent Roll_expensereimbursements,,
old_value,Rent Roll_leasetenantimprovs,,
opportunity_zone,Rent Roll_options,,
options,Rent Roll_percentrent,,
ordinance_document,Rent Roll_tenantcam,,
ordinance_document_url,Rent Roll_escalations,,
original_list_price,Rent Roll_verificationdate,,
original_lp_percent_diff,Rent Roll_verificationsource,,
other_acres,Rent Roll_commleasesurveydate,,
other_adjustment,Rent Roll_datasource,,
other_assessment,Rent Roll_comments,,
other_db_refs,Rent Roll_sizem2,,
other_gba,Rent Roll_rentperm2,,
other_ra,Rent Roll_rentperm2permo,,
owner,Rent Roll_rentpersfpermo,,
