FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data,Field Lightboxdata aligned
mf_total_rent_per_month,Rent Roll Summary_rentpersfpermomax,,,Unit Lease Summary_mftotalrentpermonth
mf_unit_amenities,Rent Roll Summary_commsizemin,,,Unit Lease Summary_mfamenities
mf_vacant_units_count,Rent Roll Summary_commsizemax,,,Unit Lease Summary_mfvacantunitscount
mf_weighted_avg_rent_per_sf_per_mo,Rent Roll Summary_commverificationsource,,,Unit Lease Summary_mfweightedavgrentpersfpermo
mf_weighted_avg_rent_per_sf_per_year,Rent Roll Summary_commvacancy,,,Unit Lease Summary_mfweightedavgrentpersfperyear
mf_weighted_avg_rent_per_unit,Rent Roll Summary_nooftenants,,,Unit Lease Summary_mfweightedavgrentperunit
mfamenities,Rent Roll Summary_sfleased,,,
min_lot_area,Rent Roll Summary_anchors,,,
minimum_lot_area,Rent Roll Summary_shadowanchors,,,
monthly_or_daily_rent,Rent Roll Summary_commleasecomments,,,Unit Lease_monthlyordailyrent
msa,Rent Roll Summary_tenant,,,Parcel_msa
multifamily_gba,Rent Roll_id,,,
municipality,Rent Roll_tenant,,,Parcel_municipality
name,Rent Roll_lessor,,,Parcel_name
neighborhood,Rent Roll_leasetype,,,Parcel_neighborhood
neighborhoodcomments,Rent Roll_typeoruseofspace,,,Parcel_neighborhoodcomments
net_income_multiplier,Rent Roll_leasetransactiontype,,,
net_rentable_area,Rent Roll_suite,,,
new_value,Rent Roll_floorlevel,,,
nim,Rent Roll_unitsf,,,Sales_nim
no_of_baths,Rent Roll_effectiverentsf,,,
no_of_buildings,Rent Roll_effectiverentsfmo,,,Improvement_noofbuildings
no_of_craneways,Rent Roll_effrentperyear,,,
no_of_docks,Rent Roll_effrentpermo,,,
no_of_mf_bathrooms,Rent Roll_leasestartdate,,,Improvement_noofmfbathrooms
no_of_multifamily_bedrooms,Rent Roll_leaseexpiredate,,,Improvement_noofmultifamilybedrooms
no_of_multifamily_rooms,Rent Roll_baserentsf,,,Improvement_noofmultifamilyrooms
no_of_tenants,Rent Roll_baserentsfmo,,,Rent Roll Summary_nooftenants
north_boundary,Rent Roll_baserentperyear,,,Parcel_northboundary
notes,Rent Roll_baserentpermo,,,
number_of_parcels,Rent Roll_leaseterm,,,Sites_NumberOfParcels
number_of_units,Rent Roll_concessions,,,
occupancy_type,Rent Roll_expensestop,,,Unit Lease_occupancytype
office_gba,Rent Roll_leasedate,,,
office_ra,Rent Roll_expensereimbursements,,,
old_value,Rent Roll_leasetenantimprovs,,,
opportunity_zone,Rent Roll_options,,,Parcel_opportunityzone
options,Rent Roll_percentrent,,,Rent Roll_options
ordinance_document,Rent Roll_tenantcam,,,
ordinance_document_url,Rent Roll_escalations,,,
original_list_price,Rent Roll_verificationdate,,,Sales_originallistprice
original_lp_percent_diff,Rent Roll_verificationsource,,,Sales_originallppercentdiff
