LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Improvement_Subrecords_gba,,primary_frontage_lf,Sites_primaryfrontagelf
Improvement_Subrecords_rentablearea,,primary_frontage_st,Sites_primaryfrontagest
Improvement_Subrecords_landtobuildingratio,,product_segment,Improvement_productsegment
Improvement_Subrecords_noofstories,,productivity_index,Sites_productivityindex
Improvement_Subrecords_noofseats,,project_amenities,
Improvement_Subrecords_noofhalfbaths,,project_id,
Improvement_Subrecords_noofgolfholes,,project_name,
Improvement_Subrecords_designappeal,,project_property_id,
Improvement_Subrecords_conditionid,,project_style,
Improvement_Subrecords_condition,,property_assessment_id,
Improvement_Subrecords_construction,,property_id,
Improvement_Subrecords_qualityid,,property_included,Sales_propertyincluded
Improvement_Subrecords_quality,,property_rights,Sales_propertyrights
Improvement_Subrecords_landscaping,,property_type,Parcel_propertytype
