LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Improvement_Subrecords_deferredmaintance,,property_zoning_id
Improvement_Subrecords_ffande,,propertymajortype
Improvement_Subrecords_yearbuilt,,propertysubtype
Improvement_Subrecords_renovations,,proposed_sf
Improvement_Subrecords_proportionrenovated,,proposed_units
Improvement_Subrecords_totaleconomiclife,,proposed_use
Improvement_Subrecords_effectiveage,,quality_id
Improvement_Subrecords_remainingeconomiclife,,ra_total
Improvement_Subrecords_foundationid,,rail_service
Improvement_Subrecords_foundation,,ready_for_use
Improvement_Subrecords_exteriorwallid,,rear_yard_distance
Improvement_Subrecords_exteriorwall,,recording_date
Improvement_Subrecords_basementuseandfinish,,renovations_description
Improvement_Subrecords_basementsize,,rent_basis
Improvement_Subrecords_columnspacing,,rent_comp_id
Improvement_Subrecords_ceilingheight,,rent_escalations
Improvement_Subrecords_roofcoverid,,rent_increase_percent
Improvement_Subrecords_roofcover,,rent_last_increased
Improvement_Subrecords_rooftypeid,,rent_per_mo
Improvement_Subrecords_rooftype,,rent_per_sf_per_mo
Improvement_Subrecords_nooftruckdoors,,rent_per_sf_per_mo_max
Improvement_Subrecords_nooftruckdoorswithlevelers,,rent_per_sf_per_mo_min
Improvement_Subrecords_clearheight,,rent_per_sq_meter
Improvement_Subrecords_coolingid,,rent_per_sq_meter_per_mo
Improvement_Subrecords_cooling,,rent_roll_summary_commleasenotes
Improvement_Subrecords_heatingid,,rentable_area
Improvement_Subrecords_heating,,rentincreased
Improvement_Subrecords_noofelevators,,rentperm2
Improvement_Subrecords_noofescalators,,rentperm2permo
Improvement_Subrecords_sprinklersid,,responsible_party
Improvement_Subrecords_sprinklers,,retail_gba
Improvement_Subrecords_residentialdesign,,retail_gla
Improvement_Subrecords_residentialamenities,,rev_par
Improvement_Subrecords_fireplaceorwoodstove,,risk_profile
Improvement_Subrecords_garage,,road_frontage
Improvement_Subrecords_docks,,roof_cover_id
Improvement_Subrecords_porchordeck,,roof_type_id
Improvement_Subrecords_ancillarybuildings,,rooms
Improvement_Subrecords_tenantimprovements,,sale_comments
Improvement_Subrecords_gbaofficemeters,,sale_comp_id
Improvement_Subrecords_raofficemeters,,sale_date
Improvement_Subrecords_gbaothermeters,,sale_notes
Improvement_Subrecords_raothermeters,,sale_price
Improvement_Subrecords_gbatotalmeters,,sale_supporting_files
Improvement_Subrecords_ratotalmeters,,school_district_id
Assessment_Subparcels_id,,schooldistrict
Assessment_Subparcels_assessinfoid,,secondary_frontage_lf
Assessment_Subparcels_,,secondary_frontage_st
Assessment_Subparcels_taxid,,secondary_traffic_count
Assessment_Subparcels_assessmentyear,,session_end
Assessment_Subparcels_landassessment,,session_start
Assessment_Subparcels_improvementassessment,,setback_distance
Assessment_Subparcels_otherassessment,,sf_leased
Assessment_Subparcels_totalassessment,,sf_size_max
Assessment_Subparcels_taxingauthority,,sf_size_min
Assessment_Subparcels_taxyear,,shadow_anchors
Assessment_Subparcels_taxratecode,,shalcommunityfee
Assessment_Subparcels_taxrate,,shalentryfee
Assessment_Subparcels_taxrateper,,shaloccupancypercentage
Assessment_Subparcels_basetaxes,,shalsecondpersonfeemonthly
Assessment_Subparcels_specialassessments,,shalunitcount
Assessment_Subparcels_taxes,,shape
Assessment_Subparcels_marketvalue,,shcaretypecomments
Assessment_Subparcels_equalizationratio,,shilcommunityfee
Assessment_Subparcels_impliedvalue,,shilentryfee
Assessment_Subparcels_isdeleted,,shilunitcount
,,shmccommunityfee
,,shmcentryfee
,,shmcoccupancypercentage
,,shmcsecondpersonfeemonthly
,,shmcunitcount
,,shothercommunityfee
,,shotherentryfee
,,shotheroccupancypercentage
,,shothersecondpersonfeemonthly
,,shotherunitcount
,,shpayormedicaidpercentage
,,shpayormedicarepercentage
,,shpayorotherpercentage
,,shpayorprivatepaypercentage
,,shpayorvapercentage
,,shsncommunityfee
,,shsnentryfee
,,shsnoccupancypercentage
,,shsnsecondpersonfeemonthly
,,shsnunitcount
,,side_yard_distance
,,site_acres
,,site_area_id
,,site_comments
,,site_dimensions
,,site_drainage
,,site_id
,,site_landscaping
,,site_topography
,,site_utilities
,,site_views
,,site_visibility
,,size_sq_meters
,,sizem2
,,soil_type
,,source_system
,,south_boundary
,,space_finish
,,special_assessments
,,sprinkler_type
,,sprinklers_id
,,square_feet
,,state
,,status
,,storage_fee
,,student_teacher_ratio
,,sub_type
,,submarket
,,suite
,,suite_number
,,supporting_files
,,tax_id
,,tax_rate
,,taxing_authority
,,tenant
,,tenant_cam
,,tenant_name
,,tenant_parking
,,tenant_profile
,,terminal_cap_rate
,,tertiary_frontage_lf
,,tertiary_frontage_st
,,tertiary_traffic_count
,,tillable_acres
,,time_log_id
,,timestamp
,,topography
,,tos_cap_rate
,,tos_effective_age
,,tos_egim
,,tos_noi
,,tos_number_of_tenants
,,tos_occupancy_rate
,,tos_price_per_rsf
,,tos_price_per_useable_acre_land
,,tos_price_per_useable_sf_land
,,tos_tenancy_type
,,tos_vacancy_rate
,,tos_weighted_avg_lease_term
,,tosweightedaverageleaseterm
,,total_assessment
,,total_market_rent
,,total_taxes
,,townshiprange
,,traffic_count
,,traffic_survey_date
,,transaction_type
,,type_of_contamination
,,type_or_use_of_space
,,unit_category
,,unit_count
,,unit_depth_ft
,,unit_floor
,,unit_height_ft
,,unit_mix_id
,,unit_sf
,,unit_type
,,unit_width_ft
,,unitdepth
,,unitheight
,,unitwidth
,,updated_at
,,updated_by_user_id
,,use_mix_id
,,use_type
,,user_id
,,utilities
,,utilities_paid_by_owner
,,utility_allowance
,,vacancy_rate
,,vacant_units
,,verification_date
,,verification_phone
,,verification_source
,,views
,,visibility
,,waste_acres
,,water_frontage
,,west_boundary
,,wetland_acres
,,wetlands_type
,,within_flood_plain
,,withinfloodplainname
,,woodland_acres
,,year_built_numeric
,,zip
,,zoned_density
,,zoning
,,zoning_authority
,,zoning_code
,,zoning_designation
,,zoning_district
,,zoning_id
