Initial ERD Field Names,Updated ERD Field Names,LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
improvement_subrecords_parkingcondition,market_rent_per_mo,incExp_egiperunit,,improvement_subrecords_noofseats,Improvement_noofseats
improvement_subrecords_parkingtype,market_rent_per_sf,incExp_electricexpense,,improvement_subrecords_noofspaces,Sites_NumberOfParcels
improvement_subrecords_porchordeck,max_build_height,incExp_ExpensePerSF,,improvement_subrecords_noofstories,Improvement_noofstories
improvement_subrecords_proportionrenovated,max_gross_lihtc_restricted_rent,incExp_ExpensePerUnit,,improvement_subrecords_nooftruckdoors,Improvement_Subrecords_nooftruckdoors
improvement_subrecords_quality,max_site_coverage,incExp_expenseratio,,improvement_subrecords_nooftruckdoorswithlevelers,Improvement_Subrecords_nooftruckdoorswithlevelers
improvement_subrecords_ratotalmeters,median_hh_income,incExp_expensereimbursements,,improvement_subrecords_noofunits,Improvement_noofunits
improvement_subrecords_remainingeconomiclife,median_home_value,incExp_expleasingcommissions,,improvement_subrecords_parking,Improvement_parking
improvement_subrecords_renovations,median_household_income,incExp_exptenantimprovements,,improvement_subrecords_parkingadequacy,Improvement_parkingadequacy
improvement_subrecords_residentialamenities,merge_timestamp,incExp_financialstype,,improvement_subrecords_parkingcomments,Improvement_parkingcomments
improvement_subrecords_residentialdesign,merged_by_user_or_system,incExp_fuelexpense,,improvement_subrecords_parkingcondition,Improvement_parkingcondition
improvement_subrecords_roofcover,mf_br_max,incExp_gasexpense,,improvement_subrecords_parkingtype,Improvement_parkingtype
improvement_subrecords_rooftype,mf_br_min,incExp_generalandadministrative,,improvement_subrecords_porchordeck,Improvement_Subrecords_porchordeck
improvement_subrecords_sourceforsfarea,mf_carport_fee_monthly,incExp_generalandadministrative2,,improvement_subrecords_proportionrenovated,Improvement_proportionrenovated
improvement_subrecords_sprinklers,mf_garage_fee_monthly,incExp_GroundRentExp,,improvement_subrecords_quality,Improvement_quality
improvement_subrecords_surfaceparkingspaces,mf_lease_comments,incExp_groundsandsecurity,,improvement_subrecords_ratotalmeters,Improvement_ratotalmeters
improvement_subrecords_tenantimprovements,mf_lease_notes,incExp_insurance,,improvement_subrecords_remainingeconomiclife,Improvement_remainingeconomiclife
improvement_subrecords_totaleconomiclife,mf_lease_survey_date,incExp_maintenancesalaries,,improvement_subrecords_renovations,Improvement_renovations
improvement_subrecords_typicalbaydepth,mf_occupancy,incExp_management,,improvement_subrecords_residentialamenities,Improvement_Subrecords_residentialamenities
improvement_subrecords_usablearea,mf_rent_concessions,incExp_managerleasingsalaries,,improvement_subrecords_residentialdesign,Improvement_Subrecords_residentialdesign
improvement_subrecords_yearbuilt,mf_rent_per_mo_max,incExp_name,,improvement_subrecords_roofcover,Improvement_roofcover
improvementvalue,mf_rent_per_mo_min,incExp_netparkingincome,,improvement_subrecords_rooftype,Improvement_rooftype
improvementvaluepersf,mf_rent_per_sf_max,incExp_noi,,improvement_subrecords_sourceforsfarea,Improvement_sourceforsfarea
improvmentcomments,mf_rent_per_sf_min,incExp_noiperbed,,improvement_subrecords_sprinklers,Improvement_sprinklers
incomegrowth,mf_rent_per_sf_per_mo_max,incExp_noipergbam2,,improvement_subrecords_surfaceparkingspaces,Improvement_surfaceparkingspaces
incomegrowthrate,mf_rent_per_sf_per_mo_min,incExp_noiperrasf,,improvement_subrecords_tenantimprovements,Improvement_Subrecords_tenantimprovements
incometarget,mf_rent_type,incExp_noipersf,,improvement_subrecords_totaleconomiclife,Improvement_Subrecords_totaleconomiclife
industrialgba,mf_size_sf_max,incExp_noiperunit,,improvement_subrecords_typicalbaydepth,
industrialra,mf_size_sf_min,incExp_noiperusablesf,,improvement_subrecords_usablearea,Improvement_Subrecords_usablearea
ingestion_timestamp,mf_source_notes,incExp_nonrevenueunits,,improvement_subrecords_yearbuilt,Improvement_Subrecords_yearbuilt
instancetype,mf_surveyed_unit_count_total,incExp_occupancy,,improvement_value,
internalcomments,mf_total_annual_rent,incExp_onsitemanagementexp,,improvement_value_per_sf,
isdeleted,mf_total_rent_per_month,incExp_otherexpenses,,income_growth,Sales_incomegrowth
isexcel,mf_unit_amenities,incExp_otherincome,,income_growth_rate,Sales_incomegrowthrate
isgroundlease,mf_vacant_units_count,incExp_otherrepairs,,income_target_percent,
