LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Sales_toseffectiveage,,price_per_primary_frontage
Sales_tosegim,,price_per_ra
Sales_tosnoi,,price_per_ra_meters
Sales_tosoccupancyrate,,price_per_room
Sales_tospriceperrsf,,price_per_sf
Sales_tospriceperuseableacreland,,price_per_space
Sales_tospriceperuseablesfland,,price_per_unit
Sales_tosvacancyrate,,price_per_usable_acre
Sales_transactiontype,,price_per_usable_land_sf
Sales_typeofcontamination,,priceactual
Sales_verificationdate,,primary_frontage_lf
Sales_verificationphone,,primary_frontage_st
Sales_verificationsource,,product_segment
Sites_access,,productivity_index
Sites_acres,,project_amenities
Sites_allowablefloorareasf,,project_id
Sites_allowableunits,,project_name
Sites_allutilities,,project_property_id
Sites_areainfloodzone,,project_style
Sites_buildablesf,,property_assessment_id
Sites_corner,,property_id
Sites_demographicssurveydate,,property_included
Sites_depth,,property_rights
Sites_dimensions,,property_type
Sites_drainage,,property_type_id
Sites_earthquakehazardrisk,,property_zoning_id
Sites_earthquakezonecomments,,propertymajortype
Sites_easementacres,,propertysubtype
Sites_easementlandsf,,proposed_sf
Sites_effectivewaterfrontage,,proposed_units
Sites_encumbranceoreasement,,proposed_use
Sites_environmentalissues,,quality_id
Sites_excessacres,,ra_total
Sites_excesslandsf,,rail_service
Sites_femamapdate,,ready_for_use
Sites_floodmappanel,,rear_yard_distance
Sites_floodzone,,recording_date
Sites_homesiteacres,,renovations_description
Sites_landhectares,,rent_basis
Sites_landsf,,rent_comp_id
Sites_landsquaremeters,,rent_escalations
Sites_landunitapprovedorzoned,,rent_increase_percent
Sites_landunits,,rent_last_increased
Sites_landunittype,,rent_per_mo
Sites_landuse,,rent_per_sf_per_mo
Sites_medianhomevalue,,rent_per_sf_per_mo_max
Sites_medianhouseholdincome,,rent_per_sf_per_mo_min
Sites_NumberOfParcels,,rent_per_sq_meter
Sites_otheracres,,rent_per_sq_meter_per_mo
Sites_percenttillable,,rent_roll_summary_commleasenotes
Sites_percentwetlands,,rentable_area
Sites_primaryfrontagelf,,rentincreased
Sites_primaryfrontagest,,rentperm2
Sites_productivityindex,,rentperm2permo
Sites_proposedsf,,responsible_party
Sites_proposedunits,,retail_gba
Sites_roadfrontage,,retail_gla
Sites_secondaryfrontagelf,,rev_par
Sites_secondaryfrontagest,,risk_profile
Sites_shape,,road_frontage
Sites_sitecomments,,roof_cover_id
Sites_soiltype,,roof_type_id
Sites_Subparcels_acres,,rooms
Sites_Subparcels_id,,sale_comments
Sites_Subparcels_identification,,sale_comp_id
Sites_Subparcels_landsf,,sale_date
Sites_Subparcels_parcelid,,sale_notes
Sites_Subparcels_subparcelcomments,,sale_price
Sites_SurplusAcres,,sale_supporting_files
Sites_SurplusLandSF,,school_district_id
Sites_tertiaryfrontagelf,,schooldistrict
Sites_tertiaryfrontagest,,secondary_frontage_lf
Sites_tillableacres,,secondary_frontage_st
Sites_topography,,secondary_traffic_count
Sites_UnusableAcres,,session_end
Sites_UnusableLandSF,,session_start
Sites_usableacres,,setback_distance
Sites_usablelandsf,,sf_leased
Sites_utilities,,sf_size_max
Sites_views,,sf_size_min
Sites_visibility,,shadow_anchors
Sites_wasteacres,,shalcommunityfee
Sites_waterfrontage,,shalentryfee
Sites_wetlandacres,,shaloccupancypercentage
Sites_wetlandstype,,shalsecondpersonfeemonthly
Sites_withinfloodplainname,,shalunitcount
Sites_woodlandacres,,shape
Unit Lease Summary_avgmfunitsize,,shcaretypecomments
Unit Lease Summary_ID,,shilcommunityfee
Unit Lease Summary_instancetype,,shilentryfee
Unit Lease Summary_managementcompany,,shilunitcount
Unit Lease Summary_mfamenities,,shmccommunityfee
Unit Lease Summary_mfbrmax,,shmcentryfee
Unit Lease Summary_mfbrmin,,shmcoccupancypercentage
