LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Parcel_otherdbrefs,,merge_timestamp,Parcel_timestamp
Parcel_owner,,merged_by_user_or_system,
Parcel_parcelcomments,,mf_br_max,Unit Lease Summary_mfbrmax
Parcel_parcelverificationdata,,mf_br_min,Unit Lease Summary_mfbrmin
Parcel_propertymajortype,,mf_carport_fee_monthly,Unit Lease Summary_mfcarportfeemonthly
Parcel_propertysubtype,,mf_garage_fee_monthly,Unit Lease Summary_mfgaragefeemonthly
Parcel_propertytype,,mf_lease_comments,Unit Lease Summary_mfleasecomments
Parcel_readyforuse,,mf_lease_notes,Unit Lease Summary_mfleasenotes
Parcel_schooldistrict,,mf_lease_survey_date,Unit Lease Summary_mfleasesurveydate
Parcel_southboundary,,mf_occupancy,Unit Lease Summary_mfoccupancy
Parcel_state,,mf_rent_concessions,
Parcel_studentteacherratio,,mf_rent_per_mo_max,Unit Lease Summary_mfrentpermomax
Parcel_submarket,,mf_rent_per_mo_min,Unit Lease Summary_mfrentpermomin
Parcel_supportingfiles,,mf_rent_per_sf_max,
Parcel_timestamp,,mf_rent_per_sf_min,
Parcel_townshiprange,,mf_rent_per_sf_per_mo_max,Unit Lease Summary_mfrentpersfpermomax
Parcel_westboundary,,mf_rent_per_sf_per_mo_min,Unit Lease Summary_mfrentpersfpermomin
Parcel_zip,,mf_rent_type,Unit Lease Summary_mfrenttype
Saleinfo_NIM,,mf_size_sf_max,
Sales_activestatus,,mf_size_sf_min,
Sales_adjustmentcomments,,mf_source_notes,Unit Lease Summary_MFSourceNotes
Sales_appraisaldate,,mf_surveyed_unit_count_total,Unit Lease Summary_mfsurveyedunitcounttotal
Sales_appraisedvalue,,mf_total_annual_rent,Unit Lease Summary_mftotalannualrent
Sales_bookpageorrefdoc,,mf_total_rent_per_month,Unit Lease Summary_mftotalrentpermonth
Sales_businessvalueadjustment,,mf_unit_amenities,Unit Lease Summary_mfamenities
Sales_buyertype,,mf_vacant_units_count,Unit Lease Summary_mfvacantunitscount
Sales_caprate,,mf_weighted_avg_rent_per_sf_per_mo,Unit Lease Summary_mfweightedavgrentpersfpermo
Sales_caprate,,mf_weighted_avg_rent_per_sf_per_year,Unit Lease Summary_mfweightedavgrentpersfperyear
Sales_cleanupcosts,,mf_weighted_avg_rent_per_unit,Unit Lease Summary_mfweightedavgrentperunit
Sales_conditionsofsale,,mfamenities,
Sales_conditionsofsaleadjustment,,min_lot_area,Zoning_Subrecords_minlotarea
Sales_confidential,,minimum_lot_area,Zoning_minimumlotarea
Sales_currentlistprice,,monthly_or_daily_rent,Unit Lease_monthlyordailyrent
Sales_currentlppercentdiff,,msa,Parcel_msa
Sales_currentuse,,multifamily_gba,
Sales_datasource,,municipality,Parcel_municipality
Sales_daysonmarket,,name,Parcel_name
Sales_diminutionsource,,neighborhood,Parcel_neighborhood
Sales_discountrate,,neighborhoodcomments,Parcel_neighborhoodcomments
Sales_egim,,net_income_multiplier,
Sales_egim,,net_rentable_area,Improvement_Subrecords_rentablearea
Sales_environmentalconcerns,,new_value,
Sales_environmentalremarks,,nim,Saleinfo_NIM
Sales_environmentalstatus,,no_of_baths,Improvement_Subrecords_noofbathrooms
Sales_excesslandadjustment,,no_of_buildings,Improvement_noofbuildings
Sales_expendituresaftersaleadjustment,,no_of_craneways,
Sales_expensegrowthrate,,no_of_docks,
Sales_ffandeadjustment,,no_of_mf_bathrooms,Improvement_noofmfbathrooms
Sales_financing,,no_of_multifamily_bedrooms,Improvement_noofmultifamilybedrooms
