LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Sales_improvementvaluepersf,,net_rentable_area
Sales_incomegrowth,,new_value
Sales_incomegrowthrate,,nim
Sales_internalcomments,,no_of_baths
Sales_isdeleted,,no_of_buildings
Sales_isexcel,,no_of_craneways
Sales_landvalue,,no_of_docks
Sales_landvaluepersf,,no_of_mf_bathrooms
Sales_legaldescription,,no_of_multifamily_bedrooms
Sales_lender,,no_of_multifamily_rooms
Sales_nim,,no_of_tenants
Sales_originallistprice,,north_boundary
Sales_originallppercentdiff,,notes
Sales_otheradjustment,,number_of_parcels
Sales_percentdiminutioninvalue,,number_of_units
Sales_percentstigma,,occupancy_type
Sales_pgim,,office_gba
Sales_price,,office_ra
Sales_priceactual,,old_value
Sales_priceadjustment,,opportunity_zone
Sales_priceperacre,,options
Sales_priceperbuildablesf,,ordinance_document
Sales_priceperfar,,ordinance_document_url
Sales_pricepergbameters,,original_list_price
Sales_priceperlandhectares,,original_lp_percent_diff
Sales_priceperlandsf,,other_acres
Sales_priceperlandsqm,,other_adjustment
Sales_priceperlandunit,,other_assessment
Sales_priceperprimaryfrontage,,other_db_refs
Sales_priceperra,,other_gba
Sales_priceperrameters,,other_ra
Sales_pricepersf,,owner
Sales_priceperspace,,parcel_comments
Sales_priceperusableacre,,parcel_id
Sales_priceperusableacre,,parcel_verification_data
Sales_priceperusablelandsf,,parent_geo_id
Sales_propertyincluded,,parking_adequacy_id
Sales_propertyrights,,parking_condition_id
Sales_proposeduse,,parking_ratio_gba
Sales_recordingdate,,parking_ratio_ra
Sales_responsibleparty,,parking_ratio_unit
Sales_riskprofile,,parking_requirement
Sales_salecomments,,parking_type_id
Sales_saledate,,per_pupil_spending
Sales_salenotes,,percent_diminution_in_value
Sales_salesupportingfiles,,percent_office_ul
Sales_terminalcaprate,,percent_rent
Sales_toscaprate,,percent_stigma
Sales_toseffectiveage,,percent_tillable
Sales_tosnoi,,percent_wetlands
Sales_tosoccupancyrate,,perimeter
Sales_tospriceperrsf,,perimeter_sf
